3578	19264	0.990380
19264	3578	0.990380
12096	4018	0.991484
4018	12096	0.991484
10342	3824	0.991601
3824	10342	0.991601
10342	7270	0.990567
7270	10342	0.990567
6630	4434	0.991459
4434	6630	0.991459
5624	9058	0.990917
9058	5624	0.990917
5624	12107	0.993043
12107	5624	0.993043
2415	17456	0.991425
17456	2415	0.991425
2415	10834	0.991893
10834	2415	0.991893
2415	5163	0.993082
5163	2415	0.993082
2415	1185	0.991642
1185	2415	0.991642
7430	12674	0.991774
12674	7430	0.991774
7430	16801	0.992173
16801	7430	0.992173
7430	5317	0.991049
5317	7430	0.991049
7430	4851	0.991102
4851	7430	0.991102
7430	16949	0.991960
16949	7430	0.991960
7430	7270	0.990281
7270	7430	0.990281
7430	7434	0.991685
7434	7430	0.991685
3824	16203	0.992465
16203	3824	0.992465
3824	12411	0.990304
12411	3824	0.990304
3824	7270	0.991927
7270	3824	0.991927
12674	5317	0.991673
5317	12674	0.991673
6663	70	0.990885
70	6663	0.990885
6663	7270	0.992630
7270	6663	0.992630
1892	1730	0.990976
1730	1892	0.990976
6276	13335	0.991013
13335	6276	0.991013
6080	19013	0.991696
19013	6080	0.991696
17926	18658	0.990651
18658	17926	0.990651
1119	14218	0.991201
14218	1119	0.991201
1119	17049	0.993937
17049	1119	0.993937
1119	12411	0.991512
12411	1119	0.991512
1119	7270	0.993344
7270	1119	0.993344
14172	1081	0.990262
1081	14172	0.990262
9058	11258	0.990956
11258	9058	0.990956
9058	12107	0.992373
12107	9058	0.992373
9058	7434	0.990438
7434	9058	0.990438
4434	9059	0.992573
9059	4434	0.992573
4434	1997	0.991845
1997	4434	0.991845
17456	10834	0.991928
10834	17456	0.991928
17456	16238	0.990140
16238	17456	0.990140
17456	4326	0.991343
4326	17456	0.991343
17456	5163	0.991353
5163	17456	0.991353
67	16949	0.991596
16949	67	0.991596
1081	14875	0.992061
14875	1081	0.992061
5889	19214	1.000000
19214	5889	1.000000
12317	14946	0.992530
14946	12317	0.992530
12317	6564	0.993247
6564	12317	0.993247
12317	3726	0.990363
3726	12317	0.990363
10834	4326	0.992688
4326	10834	0.992688
10834	5163	0.990939
5163	10834	0.990939
16203	14461	0.991170
14461	16203	0.991170
1730	13453	0.990499
13453	1730	0.990499
1668	18099	0.991602
18099	1668	0.991602
19011	13298	0.993098
13298	19011	0.993098
19479	1707	0.990424
1707	19479	0.990424
19479	7421	0.990424
7421	19479	0.990424
18810	1185	0.992516
1185	18810	0.992516
1285	16801	0.990385
16801	1285	0.990385
19013	4326	0.990627
4326	19013	0.990627
16126	13335	0.990223
13335	16126	0.990223
2845	12080	0.992667
12080	2845	0.992667
5536	16801	0.990448
16801	5536	0.990448
5536	16949	0.990015
16949	5536	0.990015
17049	14758	0.990836
14758	17049	0.990836
17049	7270	0.991022
7270	17049	0.991022
258	16801	0.992059
16801	258	0.992059
258	11084	0.990873
11084	258	0.990873
258	13001	0.992081
13001	258	0.992081
